"","x","y"
"1",1.73725490196079,0.038109167902937
"2",6.80588235294118,0.0372678075179172
"3",11.6901960784314,0.0103442751972809
"4",16.5745098039216,0.0439986905980762
"5",21.5509803921569,0.103735277934488
"6",26.6196078431373,0.0372678075179172
"7",31.5039215686275,0.0507295736782353
"8",36.3882352941177,0.0574604567583944
"9",41.364705882353,0.0717635833037324
"10",46.3411764705882,0.0936389533142495
"11",51.4098039215687,0.08943215138915
"12",56.2941176470588,0.111307521399667
"13",61.178431372549,0.150851459495602
"14",66.0627450980392,0.184505874896397
"15",71.0392156862745,0.208905326061974
"16",76.2,0.229097975302451
"17",80.9921568627451,0.242559741462769
"18",85.8764705882353,0.239194299922689
"19",90.7607843137255,0.227415254532411
"20",95.7372549019608,0.194602199516636
